axs_name,tevo_venue_id
Red Rocks Amphitheatre,1290
Revel Entertainment Center,42973
Rice-Eccles Stadium,1304
Riders Field,2644
Riverbend Music Center,1315
Rocket Arena,614
Rogers Arena,557
Rogers Place,33142
Ross-Ade Stadium,1348
Ryman Auditorium,1366
SAFE Credit Union Performing Arts Center,8664
SAHARA Las Vegas,2611
Sames Auto Arena,2407
Santa Barbara Bowl,1388
Saratoga Race Course,2033
Scotiabank Arena,17
Scotiabank Saddledome,1367
Scott Stadium,1394
ScottsMiracle-Gro Field,63741
SeatGeek Stadium,3892
Sewell-Thomas Stadium,2217
Shell Energy Stadium,19292
Simmons Bank Arena,34
Skyla Credit Union Amphitheatre,8847
Smoothie King Center,1103
SnapDragon Stadium,42979
SoFi Stadium,34648
Soldiers and Sailors Memorial Auditorium,33889
South Shore Music Circus,1453
Spectrum Center,3535
Sphere,44984
Sporting Park,7722
Sports Illustrated Stadium,7054
Springfield Symphony Hall,1523
St. Augustine Amphitheatre,5369
Stade de France,10667
Stanford Stadium,1478
State Farm Stadium,3995
Stephen Sondheim Theatre,2041
Steven Tanger Center for the Performing Arts,34217
Subaru Park,7236
Sutter Health Park,2575
Synovus Bank Amphitheater at Chastain Park,4724
T-Mobile Arena,32725
T-Mobile Center,4603
T-Mobile Park,1369
Tally Ho Theater,34960
Target Center,1534
Target Field,6333
TD Coliseum,342
TD Garden,507
Terminal 5,4954
Texas Motorplex,29843
Thalia Hall,31645
The Atlantis,44936
The Ave Live!,29806
The Camel,32162
The Fillmore Detroit,1490
The Loving Touch,33195
The Moroccan Lounge,33717
The Pabst Theater,1170
The Pavilion at Star Lake,33414
The Peppermint Club,41983
The Pinhook,32060
The Prudential Center,4797
The Showbox,1419
The Stephen Talkhouse,3637
The Stone Pony,1500
The Vic Theatre,1682
The Warfield,1708
Todd Haimes Theatre,2595
Tom Benson Hall of Fame Stadium,2289
Tottenham Hotspur Stadium,33705
Toyota Oakdale Theatre,30650
Toyota Stadium,3640
TQL Stadium,39210
Tropicana Field,1605
Truist Park,33365
Truliant Amphitheater,1953
Tsongas Center,1611
Turner Hall Ballroom,5039
U.S. Bank Stadium,32930
UBS Arena,39243
United Center,1633
Utah First Credit Union Amphitheatre,2573
Van Andel Arena,1663
Voodoo Room at House of Blues San Diego,44468
Walter Kerr Theatre,1700
Watermelon Thump Pavilion,63875
Wembley Stadium,8124
Winspear Opera House,6640
Wrigley Field,1766
X-Ray Arcade,45271
Xfinity Center - MA,1618
Xfinity Mobile Arena,499
Yankee Stadium,5725
